date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
9/9/01,2001,0,,TEN,MIA,1603.825,1568.09,0.641039166,0.358960834,1574.303,1597.611,23,31
9/9/01,2001,0,,PHI,LAR,1546.139,1550.697,0.586116034,0.413883966,1529.43,1567.407,17,20
9/9/01,2001,0,,BUF,NO,1521.265,1498.313,0.623936928,0.376063072,1482.992,1536.586,6,24
9/9/01,2001,0,,CIN,NE,1380.427,1453.308,0.488660274,0.511339726,1400.399,1433.336,23,17
9/9/01,2001,0,,CLE,SEA,1332.236,1461.802,0.408137124,0.591862876,1321.242,1472.795,6,9
9/9/01,2001,0,,DAL,TB,1449.774,1569.911,0.42131096,0.57868904,1436.544,1583.141,6,10
9/9/01,2001,0,,GB,DET,1556.165,1509.406,0.655507295,0.344492705,1576.724,1488.848,28,6
9/9/01,2001,0,,KC,OAK,1482.675,1595.16,0.432085932,0.567914068,1470.949,1606.887,24,27
9/9/01,2001,0,,MIN,CAR,1545.802,1494.618,0.661236393,0.338763607,1511.107,1529.312,13,24
9/9/01,2001,0,,NYJ,IND,1538.608,1583.03,0.529579542,0.470420458,1505.56,1616.078,24,45
9/9/01,2001,0,,BAL,CHI,1652.017,1419.71,0.847022534,0.152977466,1658.714,1413.013,17,6
9/9/01,2001,0,,SF,ATL,1456.597,1404.46,0.662464163,0.337535837,1465.483,1395.575,16,13
9/9/01,2001,0,,JAX,PIT,1502.466,1520.072,0.56778552,0.43221448,1527.382,1495.157,21,3
9/9/01,2001,0,,LAC,WSH,1362.011,1510.163,0.382568268,0.617431732,1404.775,1467.398,30,3
9/10/01,2001,0,,DEN,NYG,1556.177,1567.941,0.576018767,0.423981233,1576.75,1547.368,31,20
9/23/01,2001,0,,NE,NYJ,1433.336,1505.56,0.489605326,0.510394674,1413.04,1525.855,3,10
9/23/01,2001,0,,SF,LAR,1465.483,1567.407,0.447061249,0.552938751,1451.33,1581.56,26,30
9/23/01,2001,0,,MIA,OAK,1597.611,1606.887,0.579512658,0.420487342,1608.982,1595.516,18,15
9/23/01,2001,0,,KC,NYG,1470.949,1547.368,0.483572653,0.516427347,1447.877,1570.439,3,13
9/23/01,2001,0,,ATL,CAR,1395.575,1529.312,0.402350232,0.597649768,1422.685,1502.202,24,16
9/23/01,2001,0,,ARI,DEN,1335.012,1576.75,0.265536945,0.734463055,1319.817,1591.945,17,38
9/23/01,2001,0,,SEA,PHI,1472.795,1529.43,0.512035877,0.487964123,1439.706,1562.519,3,27
9/23/01,2001,0,,CLE,DET,1321.242,1488.848,0.356486275,0.643513725,1353.614,1456.476,24,14
9/23/01,2001,0,,CIN,BAL,1400.399,1658.714,0.247347279,0.752652721,1441.408,1617.705,21,10
9/23/01,2001,0,,CHI,MIN,1413.013,1511.107,0.452517422,0.547482578,1436.13,1487.99,17,10
9/23/01,2001,0,,DAL,LAC,1436.544,1404.775,0.635769031,0.364230969,1403.494,1437.826,21,32
9/23/01,2001,0,,JAX,TEN,1527.382,1574.303,0.525994315,0.474005685,1546.935,1554.75,13,6
9/23/01,2001,0,,IND,BUF,1616.078,1482.992,0.757730066,0.242269934,1628.672,1470.398,42,26
9/24/01,2001,0,,GB,WSH,1576.724,1467.398,0.731746384,0.268253616,1594.807,1449.315,37,0
9/30/01,2001,0,,NYG,NO,1570.439,1536.586,0.638542464,0.361457536,1585.64,1521.385,21,13
9/30/01,2001,0,,OAK,SEA,1595.516,1439.706,0.780928346,0.219071654,1608.333,1426.889,38,14
9/30/01,2001,0,,LAR,MIA,1581.56,1608.982,0.553869195,0.446130805,1612.234,1578.308,42,10
9/30/01,2001,0,,WSH,KC,1449.315,1447.877,0.594463364,0.405536636,1406.45,1490.743,13,45
9/30/01,2001,0,,ARI,ATL,1319.817,1422.685,0.445718343,0.554281657,1293.136,1449.366,14,34
9/30/01,2001,0,,LAC,CIN,1437.826,1441.408,0.587478283,0.412521717,1459.561,1419.672,28,14
9/30/01,2001,0,,JAX,CLE,1546.935,1353.614,0.815629849,0.184370151,1504.377,1396.172,14,23
9/30/01,2001,0,,MIN,TB,1487.99,1583.141,0.456717822,0.543282178,1505.721,1565.411,20,16
9/30/01,2001,0,,DEN,BAL,1591.945,1617.705,0.556232007,0.443767993,1568.392,1641.258,13,20
9/30/01,2001,0,,CAR,GB,1502.202,1594.807,0.460356598,0.539643402,1474.095,1622.914,7,28
